mmsi,lat,lon,sog,cog,haeding,vesselname,imo,callsign,vesseltype,status,length,width,draft,cargo,tclass,direction
367149340,41.589361580277945,29.181168285044635,1.3,10,16,SYDNEE TAYLOR,,WDD4807,31,0,26,9,,31,B,ns
367687520,44.38428533333254,31.36819715931651,10.7,124.9,130,CHIPPEWA,,WDI3361,31,0,22,,,,B,ns
367368170,41.303106035426545,29.033329944699574,0.6,46.5,141,SONJA H,,WDE5536,31,0,18,6,,32,B,
367007980,38.225356875780825,25.385022432354198,0,-49.6,511,ANGIE M BRUSCO,IMO5111359,WDC3446,31,0,28,7,3.4,,B,sw
367538940,37.92044908933479,25.623733609659087,3.1,168,511,RITA ANN,,WDG4670,31,0,21,,,,B,sw
367054790,33.64495233024083,28.033071957226216,0.1,-180.8,511,COLT,,WDC6330,31,15,20,7,,31,B,sn
367567020,36.72972013655469,-0.3329111372434162,0,0,511,LULAPIN,IMO8997869,WDG7412,31,0,23,8,,,B,ew
367389480,38.54853687061557,2.734346343424055,0,-157.8,511,MAVERICK,,WDE7139,31,0,18,6,,52,B,ns
477628100,44.56777019143909,32.20036600238503,12.8,-128.7,283,NINGBO SEAL,IMO9579066,VRJD3,70,0,225,32,14.3,70,B,sn
367320010,43.783729671440156,32.78704467785974,0.9,31.8,511,GALWAY BAY,IMO0000000,WB06953,30,,22,7,,,B,sn
367574180,42.48044887550181,29.990619927123653,0,180,511,SEAS THE MOMENT,,WDG8117,37,0,22,,,,B,ns
367588940,46.145464672353214,31.91926366825143,0,-186.7,511,MISS ELIZABETH,IMO7906851,WDG9553,31,0,25,8,2.9,,B,ns
367091120,40.7281778788229,29.91096798608061,0,140.6,511,ROBERT E MCALLISTER,IMO9068574,WDC8669,31,0,33,9,4,52,B,
367419340,39.110476589741886,24.676552157091695,0,28.2,248,DELTA CATHRYN,IMO9562219,WDE9621,31,0,30,12,,99,B,sn
366811570,36.78600532960443,28.725285865153445,0,49.8,352,NATALIE H,IMO7200245,WDA4637,31,0,18,7,,,B,
367186840,36.33009898991002,-0.13546211559795562,5.3,112.7,511,KENNETH S SETTOON,,WDD7467,31,5,15,6,,,B,ew
538002845,35.96398386957495,-5.428275534583687,13.2,189,187,YASA GOLDEN DARDANEL,IMO9339985,V7ME9,80,0,245,42,15,89,B,ew
367142710,35.7471868265971,18.3096552446044,0,-153.5,511,LEO G LUTGRING,,WDD4290,31,12,43,10,,31,B,ew
367376370,44.331361898000466,30.836991332588095,0,0,511,WYOMING,,WC7559,31,0,24,6,,,B,ns
367505650,44.07825003050561,33.28052788487147,0,-132.6,310,BERNARD G,,WDF9486,31,0,39,12,,,B,sn
367578710,45.10149012127737,36.622413245873425,9.4,-78.2,351,FLYING CLOUD,,WDG8551,60,0,23,8,,,A,sn
338145626,45.496052911679875,30.92682072174315,0,-49.6,511,KNOT RETIRED,,,37,,16,,,,B,ns
366999423,44.923747899007125,36.60943610454106,0,-119.1,124,EVANICK,,AEPP,90,4,,,,32,B,sn
367528690,44.81622594495537,36.58771983687733,0.1,-175.8,15,ALASKAN LADY,IMO7742358,WDG3692,30,0,51,9,3,2,B,sn
367003870,36.46806637638564,27.431281657850793,0,-176.2,511,RYAN,IMO8976592,WDF2431,31,0,26,9,,,B,sw
366772780,38.65037283165248,24.543969285628553,0,-166.5,353,WSF WALLA WALLA,IMO7233151,WYX2158,60,0,134,26,5.2,,B,sn
367581680,44.48122466863613,31.607475255620862,6.5,10.7,10,THE DELTA,,WDG8848,31,10,16,6,,,B,ns
369970628,42.589199229253595,29.66296095762111,0,-161.9,511,MOLINE,,AEMN,,0,,,,,B,ns
477214900,36.60462365827678,28.124805645708502,0.1,157.5,68,PTI HERCULES,IMO9358307,VRBY7,80,0,183,32,13.2,80,B,
367597230,33.529905029994346,28.569403880739895,0.1,-49.6,269,FDNY 343,,WDH2404,90,0,38,,,,B,sn
366961530,38.25798738414925,24.788863712160214,8.9,199.2,210,JOE B WYATT,,WDB8613,31,12,48,13,,,B,sn
367647210,39.01351116140648,24.719441362414596,0,4.5,9,ROBERT J SHEA,,WDH7341,31,0,25,,,,A,sn
367400420,36.2296879247219,-3.1109337177147025,0,-146.7,158,PT BARNUM,IMO8654285,WCZ3919,60,15,88,15,,60,B,ew
367665340,36.05423,-89.67829,0,-197.4,511,ANGELINE,,WDH9170,31,0,16,,,,B,
367741530,42.77491059704276,29.883360252513462,0,71.9,511,RIVERDANCE,,WDI8727,37,,,,,,B,ns
366919230,36.430605946303466,28.520157755056438,0,-119.4,263,LARRY TILLEY,,WY2160,31,12,34,10,,31,B,
367787640,29.91861,-90.14131,0.1,-194.9,511,SPIRIT,,WDJ5436,31,0,22,8,,31,B,
367001830,46.20157,-123.38729,0,0,238,TERRI L BRUSCO,IMO7618155,WDC3034,31,0,21,7,,,B,
367406570,48.7554,-122.50435,0.9,7.1,511,YANKEE BOY,,WDE8524,30,,15,4,,,B,
367540040,47.63022,-122.33213,0,45.6,39,EXCELLENCE,,WDG4781,60,5,33,6,,37,A,
367177660,45.60675,-122.67812,3.1,93.4,511,TRIUMPH IV,,WBE7851,60,,11,,,,B,
367597330,48.38043,-122.51305,0,-49.6,268,ADAGIO,,WDH2414,37,,14,,,,B,
373746000,29.87873,-89.94732,0,132.5,121,NEW COMMANDER,IMO9610652,3EWU5,70,1,186,27,11,,A,
538004188,37.75965,-122.3471,0,43,153,NAVE POLARIS,IMO9457749,V7VQ6,80,1,170,26,10.1,89,A,
367678850,33.90843,-118.45012,0.1,-196,69,LELA FRANCO,IMO9747821,WDI2504,31,5,24,,,,A,
367473990,44.231770483596186,32.32725096699529,0,-105.7,223,THERESA MARIE,IMO7613648,WDF6412,30,15,22,7,,,B,sn
367641850,45.19118800134166,31.51849051058544,0,0,264,DON C,,WDH6811,90,15,29,6,,,B,ns
338997000,40.73869401783128,29.88863324140376,0,0,22,MCFARLAND,IMO7739856,AEGB,90,15,97,22,7,33,B,
338790000,44.082267935206616,32.37687143343549,0,-135.4,89,SALLY FOX,IMO9776729,WDH7915,60,0,31,9,,,B,sn
249974000,36.472212982335066,28.504961326623928,10.2,85.7,86,PTI RHINE,IMO9313462,9HA4456,80,0,183,32,13.2,81,B,
367401320,36.581428093385895,28.426534030922575,0,-150.9,511,LAMAR GOLDING,,WDE8078,31,15,24,9,,57,B,
367683810,32.433112733894646,28.674986682739984,15.3,-164.6,511,ANITA D,,WDI2987,60,15,18,5,,,B,sn
367644850,36.096835671730275,-0.7471868637028676,0,158.5,511,CAPT VINCE GAMARELLA,,WDH7105,31,8,24,9,,31,B,ew
366946090,43.71824793460332,32.78049426184208,0,0,511,CORNUCOPIA MAJESTY,,WDH5940,60,0,53,19,,60,B,sn
477542400,44.71983437752182,33.1170265053585,10.6,-87.5,326,ATLANTIC PISCES,IMO9392781,VRFN3,80,0,183,32,12.2,80,B,sn
367571840,44.785530381178305,30.95224165705973,0,194.2,184,VIDALIA DOCK,,WDG7887,31,9,28,9,,31,B,ns
367149490,45.25349608542658,36.526186718795365,0,137.9,511,CHARLOTTE_V,IMO8968777,WDJ6919,52,0,28,18,3,52,B,
367317080,43.57409376575879,30.871096461970136,0,191.1,511,MACY LYN,,WDD9845,90,0,18,9,,39,B,ns
366773070,36.60303924812983,28.718238904308414,0,-74.3,92,WSF CATHLAMET,IMO7808138,WYR7641,60,0,100,23,4.7,,B,
367365210,33.09575068037259,28.686623999510967,0,-173.6,511,ALFRED P CENAC III,,WDE5335,31,0,19,8,,57,B,sn
367399210,36.638178855476845,-0.9149064938518628,0,-195.1,511,FUSA TEST,,WRD6794,,0,,,,,B,ew
367793490,41.98350858750828,4.642911096943431,0,119.5,511,MARY M MILLER,,WDJ6013,60,15,27,9,,60,B,ns
367159020,44.7341099049624,31.659422554142978,0,-193.9,207,CRAIG ERIC REINAUER,IMO7517686,WDD5483,31,0,34,10,5.3,52,B,ns
367075180,45.786807091164945,32.02670627754338,4.1,-165.7,511,DANIELLE C,,WDC7686,31,12,17,7,,,B,sn
316028703,42.947551881053016,33.46466543510786,0,-100.7,511,GANGES HAWK,,VY5281,38,,8,2,1.1,,B,sn
366977170,45.83049523070554,31.345774461294635,0,-49.6,511,CAPE POINT,IMO8645313,WAH3960,60,0,45,12,1.2,,A,ns
367124050,40.713326496579015,29.894764974618077,4.7,-88.6,319,CASCADE MARINER,IMO7609295,WDA6405,30,15,25,7,,,B,
367402950,36.57448645671674,28.124537794972337,2.9,64.9,65,EVA KELLEY,,WDE8218,31,15,28,7,,,B,
636016431,35.94478509225032,-5.107945908576264,19.7,154.9,155,MSC VAISHNAVI R,IMO9227340,A8RL2,70,0,282,32,12.5,71,B,ew
367098550,37.59877529008754,0.22988469264166733,0,0,511,HEIDI L BRUSCO,IMO8628195,WDC9175,31,0,35,9,3.1,,B,ns
366961250,43.54948228080718,30.852866345673394,0.9,-106.7,223,GEISMAR,,WDH5468,31,12,21,9,,,A,ns
367316510,35.6506965173087,28.10247934831053,0,-49.6,511,ZIBET,IMO8969898,WDD9800,30,2,26,7,,,B,sw
367125050,31.291862956069526,29.854851826060884,0,-127.1,164,GILBERT TAYLOR,,WCX2939,31,12,40,10,,,B,sn
367793240,37.4024963759164,5.098767072503077,0,-141.4,511,RIVER SPIRIT,,WDJ5987,,0,,,,,B,ew
366970910,36.08266571606984,-5.183695550252208,13.5,141,511,LAKE CHARLES PILOT,,WDJ5209,90,15,19,5,,,B,ew
367789310,36.39376171210058,-2.831354352145059,0.8,112.8,327,FANTASY ISLAND,IMO9788344,WDJ5586,90,0,95,20,6.9,,B,ew
366925000,35.31659235209964,-4.119512804989229,0,-181.2,511,SUSAN W,IMO8968789,WCW4123,31,0,33,10,3.6,,B,we
367166430,35.75511693706368,-3.592790824253284,4.4,-52,21,HENRYJ SOUDELIER III,,WDD5963,31,0,25,10,,57,B,we
369970039,41.598745181997145,29.24390853566183,0,30.1,352,YP-703,,,90,0,36,,,99,B,
367712860,45.28290052077603,36.63817016916474,0.4,58.3,232,CAROLYN H,IMO8851053,WDI5873,31,0,20,6,1,,B,
367306390,38.584973513868036,25.287644468343434,0.4,-53,511,MASTER JAMES,IMO8984317,WDD9071,30,15,25,7,,,B,sw
316001821,36.505929941795664,28.477068964497388,0,-110.5,511,FROSTI,IMO7628473,CFL3773,30,0,39,8,4.2,30,B,
367576470,37.005944096602676,26.750452908812417,0,0.1,280,BERING,,WDG8339,90,0,16,,,,B,sw
